instance;numRes;cmax;tminSGS;tmin;tmax;networkComplexity;resourceFactor;resourceStrength
j3010_1;4;121;41;41;56;1.5;0.710938;0.51394
j3010_10;4;194.5;37;37;46;1.5;0.710938;0.502778
j3010_2;4;128;52;52;65;1.5;0.710938;0.50963
j3010_3;4;119;61;61;77;1.5;0.710938;0.515686
j3010_4;4;174.5;57;53;72;1.5;0.710938;0.518305
j3010_5;4;105;41;41;47;1.5;0.710938;0.518976
j3010_6;4;143.5;40;40;51;1.5;0.710938;0.509032
j3010_7;4;126.5;47;47;57;1.5;0.710938;0.507678
j3010_8;4;148;50;50;62;1.5;0.710938;0.503788
j3010_9;4;102.5;49;49;49;1.5;0.710938;0.503378
j3011_1;4;30;52;52;65;1.5;0.710938;0.722294
j3011_10;4;48.5;38;38;45;1.5;0.710938;0.699062
j3011_2;4;67.5;56;56;64;1.5;0.710938;0.700432
j3011_3;4;21.5;81;81;81;1.5;0.710938;0.700479
j3011_4;4;37;60;60;68;1.5;0.710938;0.699547
j3011_5;4;52;48;48;57;1.5;0.710938;0.69058
j3011_6;4;52;44;44;49;1.5;0.710938;0.713571
j3011_7;4;72;35;35;41;1.5;0.710938;0.700193
j3011_8;4;61;62;62;68;1.5;0.710938;0.704549
j3011_9;4;22.5;67;67;71;1.5;0.710938;0.70253
j3012_1;4;0;47;47;47;1.5;0.710938;1
j3012_10;4;0;57;57;57;1.5;0.710938;1
j3012_2;4;0;46;46;46;1.5;0.710938;1
j3012_3;4;0;37;37;37;1.5;0.710938;1
j3012_4;4;0;63;63;63;1.5;0.710938;1
j3012_5;4;0;47;47;47;1.5;0.710938;1
j3012_6;4;0;53;53;53;1.5;0.710938;1
j3012_7;4;0;55;55;55;1.5;0.710938;1
j3012_8;4;0;35;35;35;1.5;0.710938;1
j3012_9;4;0;52;52;52;1.5;0.710938;1
j3013_1;4;565;46;34;75;1.5;0.9375;0.197872
j3013_10;4;329.5;52;52;75;1.5;0.9375;0.200082
j3013_2;4;639.5;47;32;74;1.5;0.9375;0.197073
j3013_3;4;615.5;63;45;96;1.5;0.9375;0.199343
j3013_4;4;378.5;58;50;82;1.5;0.9375;0.201629
j3013_5;4;586.5;55;43;82;1.5;0.9375;0.203462
j3013_6;4;620.5;48;44;73;1.5;0.9375;0.203023
j3013_7;4;599;65;50;100;1.5;0.9375;0.207368
j3013_8;4;767.5;77;48;124;1.5;0.9375;0.198189
j3013_9;4;385.5;65;51;97;1.5;0.9375;0.204501
j3014_1;4;137.5;44;43;56;1.5;0.9375;0.51015
j3014_10;4;86;58;58;66;1.5;0.9375;0.504032
j3014_2;4;206;52;44;61;1.5;0.9375;0.51
j3014_3;4;183.5;58;58;75;1.5;0.9375;0.507515
j3014_4;4;126;45;45;56;1.5;0.9375;0.515582
j3014_5;4;181;50;50;68;1.5;0.9375;0.508813
j3014_6;4;194;34;34;38;1.5;0.9375;0.513587
j3014_7;4;247.5;47;47;61;1.5;0.9375;0.508662
